entity_code,period_end,period_type,statement_scope,currency,unit,line_item,value,data_status,source_document_id,source_page,extraction_method,notes
DMX,2023-12-31,FY,consolidated,VND,VND_bn,current_assets,42189.953366083,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,cash,4139.929685549,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,short_term_investments,15742.181273443,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,current_receivables,3600.944215409,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,receivables,298.857679542,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,inventory_gross,18442.492515483,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,inventory_provision,-204.448896920,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,inventory,18238.043618563,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,fixed_assets,3062.528496166,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,jv_investment,286.632252729,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,long_term_deposits,460.000000000,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,total_assets,46427.544502056,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,current_liabilities,25984.509220523,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,total_liabilities,27873.959220523,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,payables,5457.040214493,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,short_term_debt,18416.666409682,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,long_term_debt,1889.450000000,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,total_debt,20306.116409682,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,total_equity,18553.585281533,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,share_capital,4361.518810000,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,retained_earnings,14188.327441227,official,DMX_FS_2024_C,FS pp. 5-6,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,revenue,86822.142993475,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,cogs,-72403.597338351,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,gross_profit,14418.545655124,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,financial_income,1707.166695280,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,financial_expense,-1082.011569400,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,interest_expense,-1079.340781938,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,selling_expense,-12106.242047179,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,general_admin_expense,-933.421452736,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,operating_profit,2004.037281089,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,other_income,25.533291460,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,other_expense,-230.283672260,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,other_profit,-204.750380800,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,pretax_income,1799.286900289,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,current_tax_expense,-393.496576363,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,deferred_tax_expense,-60.289118117,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,tax_expense,-453.785694480,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,net_income,1345.501205809,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,net_income_parent,1345.501205809,official,DMX_FS_2024_C,FS p. 7,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,depreciation_amortization,1449.207883056,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,provisions,-165.930068134,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,fx_revaluation_adjustment,-0.368727798,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,investing_profit_adjustment,-1305.206744891,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,interest_expense_adjustment,1079.340781938,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,operating_profit_before_working_capital,2856.330024460,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,change_receivables,580.300892931,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,change_inventory,4011.323151278,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,change_payables,-3302.470753718,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,change_prepaids,125.916897642,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,interest_paid,-1095.134298420,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,tax_paid,-818.968881764,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,operating_cash_flow,2357.297032409,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,capex,-316.883339058,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,asset_disposal_proceeds,7.356066690,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,term_deposit_placements,-27504.613656928,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,term_deposit_collections,18221.485675908,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,investments_in_other_entities,-105.597412729,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,interest_received,893.148723318,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,investing_cash_flow,-8805.103942799,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,debt_drawdown,69600.847575387,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,debt_repayment,-62188.354104759,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,dividends_paid,-200.009999995,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,financing_cash_flow,7212.483470833,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,net_change_cash,764.676560443,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,opening_cash,3374.884397308,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,fx_cash_effect,0.368727798,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2023-12-31,FY,consolidated,VND,VND_bn,ending_cash,4139.929685549,official,DMX_FS_2024_C,FS pp. 8-9,manual,Comparative column in FY2024 filing; expressly unaudited.
DMX,2024-12-31,FY,consolidated,VND,VND_bn,current_assets,47063.191892772,official,DMX_FS_2024_C,FS pp. 5-6,manual,Audited consolidated statutory actual.
DMX,2024-12-31,FY,consolidated,VND,VND_bn,cash,3780.128276727,official,DMX_FS_2024_C,FS pp. 5-6,manual,Audited consolidated statutory actual.
DMX,2024-12-31,FY,consolidated,VND,VND_bn,short_term_investments,19463.430958687,official,DMX_FS_2024_C,FS pp. 5-6,manual,Audited consolidated statutory actual.
DMX,2024-12-31,FY,consolidated,VND,VND_bn,current_receivables,5005.016206176,official,DMX_FS_2024_C,FS pp. 5-6,manual,Audited consolidated statutory actual.
DMX,2024-12-31,FY,consolidated,VND,VND_bn,receivables,241.768864731,official,DMX_FS_2024_C,FS pp. 5-6,manual,Audited consolidated statutory actual.
