source_document_id,entity_code,document_title,document_type,period_end,published_date,source_url,retrieved_at,sha256,data_status,notes
DMX_FS_2024_C,DMX,Audited consolidated financial statements FY2024,financial_statement,2024-12-31,2026-05-22,https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/93/e5/93e558113d3fa242567df336db5e4af6.pdf,2026-07-13T17:07:18+07:00,1e37e8ba89af4c92a357093efed00fb7b5b3a88c37e8266f457158a2fdd2dd03,official,FY2024 audited consolidated; FY2023 comparative figures are expressly unaudited in the independent auditor report.
DMX_FS_2025_C,DMX,Audited consolidated financial statements FY2025,financial_statement,2025-12-31,2026-05-22,https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/08/af/08af79013e9b9bdb210eb476e2fa7b95.pdf,2026-07-13T17:07:18+07:00,ba4e4adf9d17842724c74d9fd8a26ad11eeab5831a3241d98e49dae19ba977aa,official,FY2025 audited consolidated statutory statements.
DMX_DATA_2026Q1,DMX,Official Excel data pack Q1 2026,data_pack,2026-03-31,,https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/6/0/6b/e5/6be50a510e272451464dae07771401ca.xlsx,2026-07-13T17:07:18+07:00,04740bac2d95d61ca9449c7f536083856ae3dad4e78581eba8382c256c3e79f5,official,Q1 2026 unaudited consolidated Excel pack; reconciled to the signed PDF.
DMX_RESULTS_2026H1,DMX,Business results 6M 2026,business_results,2026-06-30,,https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/7/5006021/b5/ee/b5ee17c283b469b12b3b435d00da8aa4.pdf,2026-07-13T17:07:18+07:00,2ecfac9ff4e116a96475c6f9d8db46877ca80e70ba57832d8f2a5b8e1f1d2197,official,Operating KPI context only; not a financial statement and no publication date is asserted.
